epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,17962.2,1.2151,0.56252,0.9688,0.98762,0.82805,0.8896,0.66746,0.99373,0.47623,0.92851,0.00171092,0.00171092,0.00171092
148,18058.7,1.2072,0.5611,0.96554,0.98793,0.82927,0.88913,0.67599,0.95953,0.47313,0.91932,0.00170894,0.00170894,0.00170894
149,18126.6,1.19852,0.55738,0.96052,0.98716,0.83011,0.89053,0.67986,0.95082,0.46624,0.91863,0.00170696,0.00170696,0.00170696
150,18203.8,1.16118,0.54543,0.95612,0.98927,0.82997,0.89256,0.68346,0.93473,0.46441,0.91389,0.00170498,0.00170498,0.00170498
151,18305.9,1.18204,0.55361,0.96209,0.98944,0.83026,0.89175,0.68218,0.93511,0.46448,0.91373,0.001703,0.001703,0.001703
152,18503.9,1.17638,0.55007,0.95632,0.9895,0.83059,0.89083,0.68264,0.93648,0.46384,0.91235,0.00170102,0.00170102,0.00170102
153,18585.2,1.17988,0.55131,0.95782,0.98804,0.83068,0.89211,0.68592,0.92596,0.45962,0.91018,0.00169904,0.00169904,0.00169904
154,18682.6,1.1581,0.54215,0.95248,0.98915,0.83038,0.89128,0.68773,0.91661,0.45874,0.90836,0.00169706,0.00169706,0.00169706
155,18773.4,1.15118,0.5447,0.95501,0.98966,0.82989,0.89119,0.69258,0.90487,0.45162,0.90521,0.00169508,0.00169508,0.00169508
156,18872,1.16889,0.54293,0.95516,0.99047,0.8301,0.89138,0.69152,0.90182,0.45193,0.90511,0.0016931,0.0016931,0.0016931
157,18942.8,1.14722,0.53714,0.94716,0.98946,0.8299,0.89474,0.69499,0.91015,0.45242,0.90495,0.00169112,0.00169112,0.00169112
158,19019.5,1.18395,0.54264,0.9638,0.98788,0.83034,0.89034,0.68209,0.94078,0.4628,0.91262,0.00168914,0.00168914,0.00168914
159,19098.6,1.16969,0.54364,0.95604,0.98903,0.83017,0.89464,0.69472,0.90479,0.45129,0.90503,0.00168716,0.00168716,0.00168716
160,19187.8,1.11885,0.52858,0.95149,0.98975,0.8297,0.8917,0.69444,0.90344,0.45328,0.9034,0.00168518,0.00168518,0.00168518
161,19273.8,1.13632,0.53916,0.94691,0.98976,0.83141,0.89302,0.69797,0.8906,0.44852,0.89954,0.0016832,0.0016832,0.0016832
162,19825.1,1.11506,0.53191,0.94096,0.98863,0.83149,0.89359,0.69952,0.89239,0.44878,0.8999,0.00168122,0.00168122,0.00168122
163,19898.9,1.13173,0.53204,0.94803,0.9901,0.83016,0.89498,0.69551,0.91338,0.4487,0.90556,0.00167924,0.00167924,0.00167924
164,19971.8,1.1317,0.53115,0.93926,0.99043,0.83036,0.89225,0.69718,0.89282,0.44741,0.89943,0.00167726,0.00167726,0.00167726
165,20029.4,1.15366,0.54077,0.94371,0.98936,0.83157,0.89428,0.69713,0.90206,0.44772,0.90066,0.00167528,0.00167528,0.00167528
166,20675.8,1.11187,0.52628,0.94799,0.98966,0.83,0.8975,0.70596,0.8796,0.4437,0.89774,0.0016733,0.0016733,0.0016733
167,20771.1,1.11187,0.52891,0.9407,0.98996,0.83104,0.89115,0.6997,0.88072,0.44283,0.89581,0.00167132,0.00167132,0.00167132
168,20840.9,1.12749,0.53125,0.94297,0.99047,0.83098,0.89187,0.69323,0.90158,0.44802,0.89956,0.00166934,0.00166934,0.00166934
169,20922.8,1.11368,0.52427,0.94082,0.99069,0.83173,0.89498,0.70973,0.854,0.43421,0.88982,0.00166736,0.00166736,0.00166736
170,21036,1.11621,0.52558,0.94341,0.99154,0.83154,0.89434,0.70396,0.86911,0.43672,0.89422,0.00166538,0.00166538,0.00166538
171,21195.9,1.13614,0.52827,0.93707,0.99088,0.83198,0.89228,0.70114,0.88245,0.44184,0.89607,0.0016634,0.0016634,0.0016634
172,21298.9,1.13494,0.53347,0.94956,0.99062,0.83203,0.89304,0.70823,0.85861,0.43742,0.89209,0.00166142,0.00166142,0.00166142
173,21412,1.1284,0.53482,0.93321,0.98951,0.83187,0.89372,0.70673,0.86062,0.44022,0.89202,0.00165944,0.00165944,0.00165944
174,21512.2,1.10327,0.52186,0.93529,0.99068,0.83203,0.89396,0.70599,0.86483,0.43405,0.89314,0.00165746,0.00165746,0.00165746
175,21599.8,1.13405,0.52918,0.94301,0.99096,0.83198,0.89257,0.70351,0.86873,0.43852,0.89326,0.00165548,0.00165548,0.00165548
176,21673.4,1.11765,0.5255,0.9397,0.99073,0.83173,0.89246,0.69683,0.89068,0.4429,0.8955,0.0016535,0.0016535,0.0016535
177,21763.5,1.12741,0.52675,0.9389,0.99078,0.83162,0.89079,0.70197,0.8698,0.43508,0.89398,0.00165152,0.00165152,0.00165152
178,21815.6,1.0784,0.51626,0.93058,0.99062,0.83191,0.89138,0.71269,0.83383,0.43054,0.88492,0.00164954,0.00164954,0.00164954
179,21905.8,1.06804,0.51263,0.9282,0.9906,0.83225,0.89277,0.71495,0.82701,0.42763,0.88248,0.00164756,0.00164756,0.00164756
180,21980.5,1.06902,0.51209,0.92744,0.99191,0.83212,0.89518,0.71419,0.84466,0.42937,0.88495,0.00164558,0.00164558,0.00164558
181,22426.2,1.08572,0.51633,0.93058,0.99209,0.83173,0.8939,0.7165,0.82795,0.42493,0.88241,0.0016436,0.0016436,0.0016436
